omega,A,ignite
9.141414141414141437e-01,1.661616161616161547e+00,0.000000000000000000e+00
9.242424242424243097e-01,1.661616161616161547e+00,0.000000000000000000e+00
9.343434343434343647e-01,1.661616161616161547e+00,0.000000000000000000e+00
9.444444444444444198e-01,1.661616161616161547e+00,0.000000000000000000e+00
9.545454545454545858e-01,1.661616161616161547e+00,0.000000000000000000e+00
9.646464646464647519e-01,1.661616161616161547e+00,0.000000000000000000e+00
9.747474747474748069e-01,1.661616161616161547e+00,0.000000000000000000e+00
9.848484848484848619e-01,1.661616161616161547e+00,0.000000000000000000e+00
9.949494949494950280e-01,1.661616161616161547e+00,0.000000000000000000e+00
1.005050505050505194e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.015151515151515138e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.025252525252525304e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.035353535353535470e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.045454545454545414e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.055555555555555580e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.065656565656565746e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.075757575757575690e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.085858585858585856e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.095959595959596022e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.106060606060605966e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.116161616161616355e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.126262626262626299e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.136363636363636465e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.146464646464646631e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.156565656565656575e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.166666666666666741e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.176767676767676907e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.186868686868686851e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.196969696969697017e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.207070707070707183e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.217171717171717127e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.227272727272727293e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.237373737373737459e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.247474747474747403e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.257575757575757791e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.267676767676767735e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.277777777777777679e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.287878787878788067e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.297979797979798011e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.308080808080808177e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.318181818181818343e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.328282828282828287e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.338383838383838453e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.348484848484848619e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.358585858585858563e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.368686868686868729e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.378787878787878896e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.388888888888888840e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.398989898989899228e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.409090909090909172e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.419191919191919116e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.429292929292929504e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.439393939393939448e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.449494949494949614e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.459595959595959780e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.469696969696969724e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.479797979797979890e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.489898989898990056e+00,1.661616161616161547e+00,0.000000000000000000e+00
1.500000000000000000e+00,1.661616161616161547e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.101010101010100550e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.202020202020202211e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.303030303030302761e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.404040404040404422e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.505050505050504972e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.606060606060605522e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.707070707070707183e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.808080808080807733e-01,1.671717171717171713e+00,0.000000000000000000e+00
5.909090909090909394e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.010101010101009944e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.111111111111111605e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.212121212121212155e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.313131313131312705e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.414141414141414366e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.515151515151514916e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.616161616161616577e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.717171717171717127e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.818181818181818787e-01,1.671717171717171713e+00,0.000000000000000000e+00
6.919191919191919338e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.020202020202019888e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.121212121212121549e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.222222222222222099e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.323232323232323759e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.424242424242424310e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.525252525252525970e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.626262626262626521e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.727272727272727071e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.828282828282828731e-01,1.671717171717171713e+00,0.000000000000000000e+00
7.929292929292929282e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.030303030303029832e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.131313131313131493e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.232323232323233153e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.333333333333333703e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.434343434343434254e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.535353535353535914e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.636363636363636465e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.737373737373737015e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.838383838383838675e-01,1.671717171717171713e+00,0.000000000000000000e+00
8.939393939393940336e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.040404040404040886e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.141414141414141437e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.242424242424243097e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.343434343434343647e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.444444444444444198e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.545454545454545858e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.646464646464647519e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.747474747474748069e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.848484848484848619e-01,1.671717171717171713e+00,0.000000000000000000e+00
9.949494949494950280e-01,1.671717171717171713e+00,0.000000000000000000e+00
1.005050505050505194e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.015151515151515138e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.025252525252525304e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.035353535353535470e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.045454545454545414e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.055555555555555580e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.065656565656565746e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.075757575757575690e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.085858585858585856e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.095959595959596022e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.106060606060605966e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.116161616161616355e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.126262626262626299e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.136363636363636465e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.146464646464646631e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.156565656565656575e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.166666666666666741e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.176767676767676907e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.186868686868686851e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.196969696969697017e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.207070707070707183e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.217171717171717127e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.227272727272727293e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.237373737373737459e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.247474747474747403e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.257575757575757791e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.267676767676767735e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.277777777777777679e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.287878787878788067e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.297979797979798011e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.308080808080808177e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.318181818181818343e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.328282828282828287e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.338383838383838453e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.348484848484848619e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.358585858585858563e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.368686868686868729e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.378787878787878896e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.388888888888888840e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.398989898989899228e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.409090909090909172e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.419191919191919116e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.429292929292929504e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.439393939393939448e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.449494949494949614e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.459595959595959780e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.469696969696969724e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.479797979797979890e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.489898989898990056e+00,1.671717171717171713e+00,0.000000000000000000e+00
1.500000000000000000e+00,1.671717171717171713e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.101010101010100550e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.202020202020202211e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.303030303030302761e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.404040404040404422e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.505050505050504972e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.606060606060605522e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.707070707070707183e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.808080808080807733e-01,1.681818181818181879e+00,0.000000000000000000e+00
5.909090909090909394e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.010101010101009944e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.111111111111111605e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.212121212121212155e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.313131313131312705e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.414141414141414366e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.515151515151514916e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.616161616161616577e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.717171717171717127e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.818181818181818787e-01,1.681818181818181879e+00,0.000000000000000000e+00
6.919191919191919338e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.020202020202019888e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.121212121212121549e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.222222222222222099e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.323232323232323759e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.424242424242424310e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.525252525252525970e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.626262626262626521e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.727272727272727071e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.828282828282828731e-01,1.681818181818181879e+00,0.000000000000000000e+00
7.929292929292929282e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.030303030303029832e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.131313131313131493e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.232323232323233153e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.333333333333333703e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.434343434343434254e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.535353535353535914e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.636363636363636465e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.737373737373737015e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.838383838383838675e-01,1.681818181818181879e+00,0.000000000000000000e+00
8.939393939393940336e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.040404040404040886e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.141414141414141437e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.242424242424243097e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.343434343434343647e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.444444444444444198e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.545454545454545858e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.646464646464647519e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.747474747474748069e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.848484848484848619e-01,1.681818181818181879e+00,0.000000000000000000e+00
9.949494949494950280e-01,1.681818181818181879e+00,0.000000000000000000e+00
1.005050505050505194e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.015151515151515138e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.025252525252525304e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.035353535353535470e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.045454545454545414e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.055555555555555580e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.065656565656565746e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.075757575757575690e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.085858585858585856e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.095959595959596022e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.106060606060605966e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.116161616161616355e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.126262626262626299e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.136363636363636465e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.146464646464646631e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.156565656565656575e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.166666666666666741e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.176767676767676907e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.186868686868686851e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.196969696969697017e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.207070707070707183e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.217171717171717127e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.227272727272727293e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.237373737373737459e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.247474747474747403e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.257575757575757791e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.267676767676767735e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.277777777777777679e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.287878787878788067e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.297979797979798011e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.308080808080808177e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.318181818181818343e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.328282828282828287e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.338383838383838453e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.348484848484848619e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.358585858585858563e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.368686868686868729e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.378787878787878896e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.388888888888888840e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.398989898989899228e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.409090909090909172e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.419191919191919116e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.429292929292929504e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.439393939393939448e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.449494949494949614e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.459595959595959780e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.469696969696969724e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.479797979797979890e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.489898989898990056e+00,1.681818181818181879e+00,0.000000000000000000e+00
1.500000000000000000e+00,1.681818181818181879e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.101010101010100550e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.202020202020202211e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.303030303030302761e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.404040404040404422e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.505050505050504972e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.606060606060605522e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.707070707070707183e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.808080808080807733e-01,1.691919191919192045e+00,0.000000000000000000e+00
5.909090909090909394e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.010101010101009944e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.111111111111111605e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.212121212121212155e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.313131313131312705e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.414141414141414366e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.515151515151514916e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.616161616161616577e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.717171717171717127e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.818181818181818787e-01,1.691919191919192045e+00,0.000000000000000000e+00
6.919191919191919338e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.020202020202019888e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.121212121212121549e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.222222222222222099e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.323232323232323759e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.424242424242424310e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.525252525252525970e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.626262626262626521e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.727272727272727071e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.828282828282828731e-01,1.691919191919192045e+00,0.000000000000000000e+00
7.929292929292929282e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.030303030303029832e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.131313131313131493e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.232323232323233153e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.333333333333333703e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.434343434343434254e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.535353535353535914e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.636363636363636465e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.737373737373737015e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.838383838383838675e-01,1.691919191919192045e+00,0.000000000000000000e+00
8.939393939393940336e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.040404040404040886e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.141414141414141437e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.242424242424243097e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.343434343434343647e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.444444444444444198e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.545454545454545858e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.646464646464647519e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.747474747474748069e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.848484848484848619e-01,1.691919191919192045e+00,0.000000000000000000e+00
9.949494949494950280e-01,1.691919191919192045e+00,0.000000000000000000e+00
1.005050505050505194e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.015151515151515138e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.025252525252525304e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.035353535353535470e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.045454545454545414e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.055555555555555580e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.065656565656565746e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.075757575757575690e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.085858585858585856e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.095959595959596022e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.106060606060605966e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.116161616161616355e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.126262626262626299e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.136363636363636465e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.146464646464646631e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.156565656565656575e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.166666666666666741e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.176767676767676907e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.186868686868686851e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.196969696969697017e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.207070707070707183e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.217171717171717127e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.227272727272727293e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.237373737373737459e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.247474747474747403e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.257575757575757791e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.267676767676767735e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.277777777777777679e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.287878787878788067e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.297979797979798011e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.308080808080808177e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.318181818181818343e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.328282828282828287e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.338383838383838453e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.348484848484848619e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.358585858585858563e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.368686868686868729e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.378787878787878896e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.388888888888888840e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.398989898989899228e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.409090909090909172e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.419191919191919116e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.429292929292929504e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.439393939393939448e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.449494949494949614e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.459595959595959780e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.469696969696969724e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.479797979797979890e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.489898989898990056e+00,1.691919191919192045e+00,0.000000000000000000e+00
1.500000000000000000e+00,1.691919191919192045e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.101010101010100550e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.202020202020202211e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.303030303030302761e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.404040404040404422e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.505050505050504972e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.606060606060605522e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.707070707070707183e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.808080808080807733e-01,1.702020202020201989e+00,0.000000000000000000e+00
5.909090909090909394e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.010101010101009944e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.111111111111111605e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.212121212121212155e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.313131313131312705e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.414141414141414366e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.515151515151514916e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.616161616161616577e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.717171717171717127e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.818181818181818787e-01,1.702020202020201989e+00,0.000000000000000000e+00
6.919191919191919338e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.020202020202019888e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.121212121212121549e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.222222222222222099e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.323232323232323759e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.424242424242424310e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.525252525252525970e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.626262626262626521e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.727272727272727071e-01,1.702020202020201989e+00,0.000000000000000000e+00
7.828282828282828731e-01,1.702020202020201989e+00,0.000000000000000000e+00
